,CD4+ T cells,CD8+ T cells,Macrophages,B cells,Endothelial,Epithelial,Fibroblasts,assigned_type,confidence,doublet_flag
bajobnol-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.6586206205203896,True
bajoepgh-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3352481560360453,True
bakbpkle-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bakcmlbl-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.4215968414931528,False
bakfbgjj-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.4116148362892721,False
bakfjedj-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.5324843643840841,False
bakgdlio-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.6865356352600774,True
bakhhkfj-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.5701971247528234,False
bakijdcj-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.6826250669015486,True
bakneofi-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.4011863707950001,False
bakoaalb-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2528461331467608,True
bakocnhp-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.5530359450364711,True
bakpbaih-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3641879497328632,False
balcgahp-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.7030343392532701,False
baldenpd-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3376390987974805,False
baldggpm-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3496955871753991,True
balheooj-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.6217076675453729,True
balhmbpg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3013422640120288,True
balidocl-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.22811618526182,True
balihbbn-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.1859897551949732,False
baliiinb-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2438390514320972,False
balikcja-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2549527799303118,False
balodibo-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3537454135348681,True
balpcale-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1839893533907084,True
bamdagkp-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2359887251519025,False
bamdpahp-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.439117773788105,False
bamejclg-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3556293124876898,False
bamemmde-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1664348464460296,True
bamfaiff-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4530549380413032,True
