marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD16,PCNA,0.5030899455424751,0.09330436839954402,4338,0.04207851163512557,-0.07444611798196125,-0.15823346171616903,1.287727952759133e-126,0.9628084132614662,1.0075508555765442,1.0,0.9851796344190051
Ki-67,CD8A,0.5027721689428435,0.06761576502322793,2256,0.021883154045376503,-0.002556292088808864,-0.03626071858993904,0.41177832950319515,0.9945586769868556,0.984161178090475,0.985,0.9893599275386653
Ki-67,CD45,0.5027426636814064,0.06408988764044944,2139,0.0207482564286615,-0.021248059095325855,-0.044328134459277815,8.913675618495962e-12,0.98804672866934,0.9734186668067651,1.0,0.9807326977380526
CD138,CD8A,0.5025411903600847,0.004829080953648428,127,0.0012318974130154326,-0.004280832006409316,-0.001708423059054032,0.5833239785637847,1.0308349087418043,1.0165630646729897,0.28,1.0236989867073971
CD163,CD138,0.502021207475162,0.004559153079360173,118,0.0011445975963450476,-0.003050278144695935,-0.013148390134539759,0.3273938758021722,0.9453346721134847,0.9461639130539349,0.955,0.9457492925837098
CD20,VISTA,0.5016194909828413,0.005715168365770775,148,0.001435596985246331,-0.007368051925266261,-0.012965393607393358,0.017993842689050955,0.9682995159999557,1.0153171155884086,0.87,0.9918083157941822
GranzymeB,CD138,0.5015696779932832,0.0038560411311053984,6,5.819987778025666e-05,0.0052979654685736954,0.00036039363926943093,0.9078790946910471,2.0138335421466005,2.141144858029431,0.005,2.077489200088016
GranzymeB,CD31,0.5014892014834006,0.007258967527703772,188,0.001823596170448042,-0.0004383221716686044,0.00034094138031769475,0.9128309282326011,0.9490479911265588,0.913575180561803,1.0,0.931311585844181
PD-L1,CD31,0.5010035517785018,0.01935748054945464,520,0.005043989407622244,-0.012665339932070294,0.013938194413786546,4.768077618802026e-05,0.8965333042998339,0.867305253489672,1.0,0.881919278894753
LAG-3,PTEN,0.5009079136751821,0.08064892871552036,3798,0.036840522634902464,-0.0758077394535538,-0.13003183195490284,3.13378909858474e-131,0.9797079609079246,0.9676808174967007,1.0,0.9736943892023127
GranzymeB,PanCK,0.5008217299938179,0.005100225358794923,43,0.0004170991240918394,0.0064532340959241674,-0.009349699225202618,0.038264767916337705,0.9494059423427241,1.0654555622708128,0.95,1.0074307523067685
CD68,Vimentin,0.5004202614298718,0.07464903655041111,3568,0.03460952731999263,-0.1609597627678142,-0.22638813089107626,0.0,0.9805477551792409,0.9777135310906493,1.0,0.9791306431349451
GranzymeB,CD11c,0.5003068910566261,0.007997968769836232,63,0.0006110987166926949,0.0014938939918864957,0.00025349613499548536,0.9351303672988884,1.065634819804243,1.094697587617086,0.03,1.0801662037106645
